epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,210.317,1.13854,0.94459,1.05528,0.87138,0.6991,0.84891,0.44394,1.79038,1.10691,1.30092,0.0004258,0.0004258,0.0004258
89,212.661,1.18279,0.99395,1.04337,0.7945,0.64027,0.79089,0.44097,1.78656,1.20797,1.30175,0.0004192,0.0004192,0.0004192
90,215.07,1.21197,0.97581,1.09832,0.87528,0.6779,0.81812,0.42242,1.85282,1.20316,1.33364,0.0004126,0.0004126,0.0004126
91,217.474,1.16524,0.97186,1.03972,0.81371,0.74837,0.84915,0.44901,1.89406,1.18272,1.33793,0.000406,0.000406,0.000406
92,219.915,1.1883,0.96316,1.0582,0.82733,0.78589,0.85807,0.46754,1.82843,1.07194,1.29147,0.0003994,0.0003994,0.0003994
93,222.287,1.13144,0.96533,1.05314,0.81439,0.7741,0.85631,0.47128,1.8294,1.03096,1.28995,0.0003928,0.0003928,0.0003928
94,224.815,1.07618,0.90348,1.027,0.79215,0.77902,0.85442,0.44715,1.8744,1.06553,1.32545,0.0003862,0.0003862,0.0003862
95,227.459,1.18648,0.98471,1.06473,0.7435,0.75047,0.8527,0.45144,1.84141,1.10577,1.31364,0.0003796,0.0003796,0.0003796
96,229.863,1.15572,0.93326,1.04641,0.81005,0.67058,0.83442,0.45122,1.84006,1.18041,1.31365,0.000373,0.000373,0.000373
97,232.313,1.11072,0.94924,1.04535,0.79503,0.71211,0.85973,0.46391,1.84404,1.1221,1.32164,0.0003664,0.0003664,0.0003664
98,234.839,1.06359,0.89847,1.02099,0.89446,0.74372,0.86896,0.46484,1.85343,0.9988,1.32916,0.0003598,0.0003598,0.0003598
99,237.337,1.07868,0.90548,1.04172,0.89903,0.715,0.85776,0.46427,1.83574,1.01845,1.31475,0.0003532,0.0003532,0.0003532
100,239.807,1.05992,0.85561,1.02,0.86196,0.70262,0.82453,0.45164,1.81108,1.08349,1.29742,0.0003466,0.0003466,0.0003466
101,242.233,1.04086,0.85324,1.00942,0.84264,0.69502,0.82688,0.45913,1.79599,1.08422,1.29264,0.00034,0.00034,0.00034
102,244.682,1.068,0.85298,1.03293,0.90152,0.78963,0.87929,0.49201,1.81271,0.95789,1.29532,0.0003334,0.0003334,0.0003334
103,247.19,1.03088,0.85513,1.02419,0.88894,0.79219,0.89091,0.48236,1.8278,0.96358,1.30477,0.0003268,0.0003268,0.0003268
104,249.695,1.06823,0.84229,1.02892,0.86398,0.74822,0.88339,0.47631,1.81854,0.99358,1.29795,0.0003202,0.0003202,0.0003202
105,252.051,1.08838,0.88614,1.00562,0.85448,0.75036,0.86096,0.48848,1.80339,1.00341,1.28218,0.0003136,0.0003136,0.0003136
106,254.456,1.0784,0.84511,1.00505,0.87372,0.69672,0.84671,0.47885,1.78857,1.03549,1.28266,0.000307,0.000307,0.000307
107,256.794,1.03887,0.8481,1.03317,0.80637,0.75183,0.87985,0.46943,1.81407,1.00991,1.30675,0.0003004,0.0003004,0.0003004
108,259.142,1.10729,0.89266,1.0454,0.85449,0.82842,0.91969,0.48662,1.83113,0.99344,1.32112,0.0002938,0.0002938,0.0002938
